ubicacion,categoria,texto_actual,texto_propuesto
"index.html (L54)","etiqueta/HTML","IOC · UACh",""
"index.html (L62)","etiqueta/HTML","Nuevo Ctrl+N",""
"index.html (L63)","etiqueta/HTML","Abrir… Ctrl+O",""
"index.html (L64)","etiqueta/HTML","Guardar Ctrl+S",""
"index.html (L65)","etiqueta/HTML","Guardar Como…",""
"index.html (L66)","etiqueta/HTML","🧹 Autoguardados temporales…",""
"index.html (L68)","etiqueta/HTML","Importar CSV…",""
"index.html (L69)","etiqueta/HTML","Exportar CSV",""
"index.html (L70)","etiqueta/HTML","Descargar Plantilla CSV",""
"index.html (L72)","etiqueta/HTML","Exportar Resultados Estáticos",""
"index.html (L73)","etiqueta/HTML","Exportar Resultados Modales",""
"index.html (L74)","etiqueta/HTML","Exportar Resultados Espectrales",""
"index.html (L76)","etiqueta/HTML","📄 Memoria / Bases de Cálculo (PDF)…",""
"index.html (L77)","etiqueta/HTML","📝 Memoria de Cálculo (Word .docx)…",""
"index.html (L84)","etiqueta/HTML","Deshacer Ctrl+Z",""
"index.html (L85)","etiqueta/HTML","Rehacer Ctrl+Y",""
"index.html (L87)","etiqueta/HTML","Selec. Todo Ctrl+A",""
"index.html (L88)","etiqueta/HTML","Eliminar Del",""
"index.html (L90)","etiqueta/HTML","Discretizar Todo…",""
"index.html (L91)","etiqueta/HTML","Unir Elementos Seleccionados",""
"index.html (L92)","etiqueta/HTML","Unir en Intersección (crear nodo)…",""
"index.html (L93)","etiqueta/HTML","Crear elemento de área (membrana 3/4 nodos)…",""
"index.html (L94)","etiqueta/HTML","Mallar panel (4 esquinas) — clic en nodos…",""
"index.html (L95)","etiqueta/HTML","Mallar región libre — clic en nodos…",""
"index.html (L96)","etiqueta/HTML","Suavizar malla (calidad)…",""
"index.html (L97)","etiqueta/HTML","Crear link / coupling (2 nodos)…",""
"index.html (L99)","etiqueta/HTML","Definir Ejes de Grilla…",""
"index.html (L100)","etiqueta/HTML","Combinaciones de Carga… F8",""
"index.html (L101)","etiqueta/HTML","Crear casos y combos de norma (NCh3171)…",""
"index.html (L108)","etiqueta/HTML","Isométrica I",""
"index.html (L109)","etiqueta/HTML","Planta XY T",""
"index.html (L110)","etiqueta/HTML","Frente XZ F",""
"index.html (L111)","etiqueta/HTML","Lateral YZ L",""
"index.html (L113)","etiqueta/HTML","Grilla G",""
"index.html (L114)","etiqueta/HTML","Ejes XYZ",""
"index.html (L115)","etiqueta/HTML","Zoom Extensión Home",""
"index.html (L117)","etiqueta/HTML","Ocultar selección H",""
"index.html (L118)","etiqueta/HTML","Mostrar todo Shift+H",""
"index.html (L119)","etiqueta/HTML","Mostrar/ocultar cargas",""
"index.html (L121)","etiqueta/HTML","Resultado: Deformada 1",""
"index.html (L122)","etiqueta/HTML","Resultado: Axial N 2",""
"index.html (L123)","etiqueta/HTML","Resultado: Cortante Vy 3",""
"index.html (L124)","etiqueta/HTML","Resultado: Cortante Vz 4",""
"index.html (L125)","etiqueta/HTML","Resultado: Torsión T 5",""
"index.html (L126)","etiqueta/HTML","Resultado: Momento My 6",""
"index.html (L127)","etiqueta/HTML","Resultado: Momento Mz 7",""
"index.html (L128)","etiqueta/HTML","Resultado: Tensiones áreas (von Mises) 8",""
"index.html (L135)","etiqueta/HTML","▶ Análisis Estático F5",""
"index.html (L136)","etiqueta/HTML","↻ Recalcular (forzar, ignora resultados guardados)",""
"index.html (L139)","etiqueta/HTML","Análisis lineales",""
"index.html (L141)","etiqueta/HTML","▶ Estático — todos los casos y combos F5",""
"index.html (L142)","etiqueta/HTML","▶ Modal… F6",""
"index.html (L143)","etiqueta/HTML","▶ Espectro de Respuesta… F7",""
"index.html (L144)","etiqueta/HTML","▶ Time-history modal — acelerograma…",""
"index.html (L148)","etiqueta/HTML","Análisis NL-lite",""
"index.html (L150)","etiqueta/HTML","▶ No Lineal — cables…",""
"index.html (L151)","etiqueta/HTML","▶ P-Delta…",""
"index.html (L152)","etiqueta/HTML","▶ Pandeo Lineal — factor crítico…",""
"index.html (L153)","etiqueta/HTML","▶ Form-finding — densidades de fuerza…",""
"index.html (L154)","etiqueta/HTML","▶ Rótulas Plásticas — colapso…",""
"index.html (L155)","etiqueta/HTML","▶ Pushover — control de desplazamiento…",""
"index.html (L156)","etiqueta/HTML","▶ Time-history NO LINEAL — rótulas (edificio de corte)…",""
"index.html (L162)","etiqueta/HTML","▶ Etapas constructivas — staged…",""
"index.html (L163)","etiqueta/HTML","▶ Pretensado por tendón — cargas equivalentes…",""
"index.html (L164)","etiqueta/HTML","▶ Cargas móviles / líneas de influencia…",""
"index.html (L168)","etiqueta/HTML","Ver Matrices Globales K · M…",""
"index.html (L169)","etiqueta/HTML","Diagnosticar estabilidad (nodos sueltos)…",""
"index.html (L171)","etiqueta/HTML","✕ Limpiar Resultados (descartar)",""
"index.html (L171)","tooltip","DESCARTA todos los resultados calculados (estático, modal, espectro, NL, diseño) y revierte la malla auto-discretizada. Pide confirmación. Para sólo volver a ver el modelo sin borrar nada, usa «Vista modelo» en la barra.",""
"index.html (L178)","etiqueta/HTML","Generar modelo desde ficha…",""
"index.html (L185)","etiqueta/HTML","Guía Rápida F1",""
"index.html (L186)","etiqueta/HTML","Convenciones de Signos y Ejes",""
"index.html (L187)","etiqueta/HTML","Ejemplos Guiados",""
"index.html (L189)","etiqueta/HTML","Acerca de PÓRTICO",""
"index.html (L196)","tooltip","Modo profesional activo",""
"index.html (L197)","tooltip","Configuración (memoria, visualización, modificadores de sección)",""
"index.html (L199)","tooltip","Cambiar tema claro/oscuro",""
"index.html (L204)","tooltip","Sistema de unidades fijo: kN, m, ton, rad. Todo el cálculo se hace en estas unidades.",""
"index.html (L205)","etiqueta/HTML","kN – m",""
"index.html (L206)","etiqueta/HTML","ton – m (no disponible)",""
"index.html (L207)","etiqueta/HTML","kip – ft (no disponible)",""
"index.html (L217)","tooltip","Seleccionar S",""
"index.html (L221)","tooltip","Mover vista — PAN (arrastrar con la izquierda)",""
"index.html (L227)","tooltip","Agregar Nodo N",""
"index.html (L237)","tooltip","Agregar Elemento E",""
"index.html (L245)","tooltip","Agregar Área (membrana/placa/shell): clic en 3–4 nodos, Enter para crear",""
"index.html (L255)","tooltip","Mallar región: activa el modo y luego haz clic en los nodos del contorno → Enter para mallar (Esc reinicia)",""
"index.html (L263)","tooltip","Asignar Apoyo R",""
"index.html (L287)","tooltip","Ejecutar Análisis F5",""
"index.html (L293)","tooltip","Volver a la vista normal del modelo (sale de la deformada/diagramas/contornos CONSERVANDO los resultados). Para descartar los resultados: menú Análisis → Limpiar Resultados.",""
"index.html (L298)","etiqueta/HTML","Vista modelo",""
"index.html (L306)","etiqueta/HTML","Z piso",""
"index.html (L307)","tooltip","Plano de inserción de nodos (coordenada Z del piso activo)",""
"index.html (L311)","tooltip","Tamaño del snap a grilla",""
"index.html (L315)","tooltip","Imán a nodos: al crear elementos, los extremos se pegan al nodo existente más cercano (lo reutilizan en vez de duplicar). Desactívalo para crear un nodo nuevo aunque haya otro al lado.",""
"index.html (L322)","tooltip","Fijar nodos: impide mover un nodo al arrastrarlo con el mouse (evita moverlo sin querer). Desmárcalo para poder arrastrar los nodos seleccionados.",""
"index.html (L328)","tooltip","Plano de arrastre de nodos: en qué plano se mueve el nodo al arrastrarlo (XY = horizontal, XZ = vertical frontal, YZ = vertical lateral).",""
"index.html (L329)","tooltip","Plano de arrastre de nodos",""
"index.html (L337)","tooltip","Discretización automática: al analizar, cada elemento se subdivide internamente en N tramos (deformadas y diagramas precisos, rótulas visibles en la deformada). Al limpiar resultados el modelo vuelve a su estado original.",""
"index.html (L340)","tooltip","Nº de tramos por elemento para el análisis",""
"index.html (L346)","tooltip","Modo del modelo (se elige en Archivo → Nuevo)",""
"index.html (L353)","tooltip","Elevación 2D real de un eje estructural: muestra solo ese plano (ortográfico, sin profundidad) y los nodos nuevos caen en él. Defina ejes en Editar → Definir Ejes de Grilla.",""
"index.html (L359)","tooltip","Mostrar/ocultar IDs de nodos D",""
"index.html (L367)","tooltip","Vista extruida de secciones X",""
"index.html (L381)","etiqueta/HTML","Axial N",""
"index.html (L382)","etiqueta/HTML","Cortante Vy",""
"index.html (L383)","etiqueta/HTML","Cortante Vz",""
"index.html (L384)","etiqueta/HTML","Torsión T",""
"index.html (L385)","etiqueta/HTML","Momento My",""
"index.html (L386)","etiqueta/HTML","Momento Mz",""
"index.html (L387)","etiqueta/HTML","Tensiones áreas (von Mises)",""
"index.html (L390)","tooltip","Factor de escala relativo: 1 = ajuste automático normalizado. Doble clic en el número para volver a 1.",""
"index.html (L391)","etiqueta/HTML","Escala ×",""
"index.html (L393)","tooltip","Ajuste fino relativo al tamaño automático (×0.03 … ×31)",""
"index.html (L395)","tooltip","Factor relativo (1 = automático). Doble clic = volver a 1.",""
"index.html (L420)","tooltip","Exportar imagen PNG",""
"index.html (L432)","tooltip","Nuevo caso de carga o combinación",""
"index.html (L433)","tooltip","Editar caso activo: nombre, peso propio, eliminar",""
"index.html (L434)","etiqueta/HTML","⬇ cargas",""
"index.html (L434)","tooltip","Mostrar / ocultar las flechas de carga",""
"index.html (L447)","etiqueta/HTML","Hz T",""
"index.html (L454)","tooltip","Animar modo",""
"index.html (L460)","etiqueta/HTML","↓ CSV",""
"index.html (L469)","tooltip","Arrastrar para redimensionar",""
"index.html (L496)","etiqueta/HTML","Haga clic en un nodo o elemento para ver y editar sus propiedades.",""
"index.html (L501)","etiqueta/HTML","＋ Nuevo Nodo",""
"index.html (L510)","etiqueta/HTML","＋ Agregar Material",""
"index.html (L515)","etiqueta/HTML","＋ Agregar Sección",""
"index.html (L525)","etiqueta/HTML","⚡ Auto-detectar Pisos",""
"index.html (L526)","etiqueta/HTML","＋ Agregar Diafragma",""
"index.html (L542)","etiqueta/HTML","Ejecute Análisis Modal (F6) para ver resultados.",""
"index.html (L546)","etiqueta/HTML","Ejecute Análisis Estático (F5) para ver resultados.",""
"index.html (L550)","etiqueta/HTML","⚙ Crear casos y combos de norma (NCh3171)",""
"index.html (L550)","tooltip","Casos D/L y combinaciones LRFD + servicio de la NCh3171",""
"index.html (L552)","etiqueta/HTML","＋ Agregar Combinación",""
"index.html (L555)","etiqueta/HTML","Ejecute Rótulas plásticas (Análisis → NL-lite) para ver la secuencia de formación de rótulas y el factor de colapso.",""
"index.html (L564)","etiqueta/HTML","Verificación de",""
"index.html (L565)","etiqueta/HTML","⚙ Verificar diseño",""
"index.html (L573)","etiqueta/HTML","Describe la estructura en palabras y el asistente arma la ficha y genera el modelo (geometría, secciones, cargas NCh y combinaciones).",""
"index.html (L575)","etiqueta/HTML","Descripción del modelo",""
"index.html (L576)","placeholder","Ej.: edificio de 4 niveles de 3 m, 3 vanos de 6 m en X y 2 de 5 m en Y, hormigón H30, vigas 25x50, pilares 35x35, salas de clases, en Valdivia, con sismo zona 2 suelo D",""
"index.html (L579)","etiqueta/HTML","✦ Generar modelo con el asistente",""
"index.html (L580)","etiqueta/HTML","Editar ficha avanzada (JSON)…",""
"index.html (L584)","etiqueta/HTML","Modificar el modelo actual",""
"index.html (L585)","etiqueta/HTML","Pide cambios sobre el modelo ya construido: agregar cargas, anexar un piso encima o un vano lateral, aplicar modificadores de rigidez o masa. Si seleccionas elementos/nodos, las órdenes con ""selección"" actúan sobre ellos.",""
"index.html (L587)","etiqueta/HTML","¿Qué cambio quieres hacer?",""
"index.html (L588)","placeholder","Ej.: agrega carga viva de 20 kN/m a todas las vigas · anexa un piso de 3 m encima · agrega un vano de 5 m hacia la derecha · aplica modificador de rigidez 0.5 a la selección",""
"index.html (L590)","etiqueta/HTML","✦ Aplicar cambio",""
"index.html (L601)","etiqueta/HTML","Modo: Seleccionar",""
"index.html (L603)","etiqueta/HTML","X: — Y: — Z: —",""
"index.html (L604)","etiqueta/HTML","Sin selección",""
"index.html (L605)","etiqueta/HTML","Sin resultados",""
"index.html (L605)","tooltip","Resultados disponibles — clic para abrir el Centro de análisis",""
"index.html (L606)","etiqueta/HTML","Nodos: 0 | Elem: 0",""
"index.html (L607)","etiqueta/HTML","kN — m",""
"index.html (L628)","etiqueta/HTML","PÓRTICO — Ayuda",""
"index.html (L630)","etiqueta/HTML","Guía Rápida",""
"index.html (L633)","etiqueta/HTML","Acerca de",""
"index.html (L635)","tooltip","Cerrar (Esc)",""
"index.html (L642)","etiqueta/HTML","Flujo de trabajo",""
"index.html (L664)","etiqueta/HTML","Atajos de teclado",""
"index.html (L685)","etiqueta/HTML","Ejes globales",""
"index.html (L689)","etiqueta/HTML","Ejes locales del elemento",""
"index.html (L690)","etiqueta/HTML","El eje x local va del nodo 1 al nodo 2. Los ejes y/z se orientan automáticamente:",""
"index.html (L727)","etiqueta/HTML","Signos de esfuerzos y resultados",""
"index.html (L729)","etiqueta/HTML","N > 0 = tracción · N < 0 = compresión.",""
"index.html (L735)","etiqueta/HTML","violetas (doble punta)",""
"index.html (L741)","etiqueta/HTML","Liberaciones (rótulas)",""
"index.html (L743)","etiqueta/HTML","Liberar un esfuerzo (N, Vy, Vz, T, My, Mz) en un extremo ⇒ ese esfuerzo vale 0 ahí.",""
"index.html (L746)","etiqueta/HTML","El botón «Rótula» libera My + Mz (rótula clásica de momento).",""
"index.html (L747)","etiqueta/HTML","⚠ Liberar en exceso crea un mecanismo : el análisis lo detecta y avisa.",""
"index.html (L760)","etiqueta/HTML","Cargando…",""
"index.html (L763)","etiqueta/HTML","📋 Instrucciones para el docente: cómo agregar ejemplos",""
"index.html (L765)","etiqueta/HTML","Modele el ejemplo en PÓRTICO y guárdelo con Archivo → Guardar (ej.: viga_simple.s3d ).",""
"index.html (L766)","etiqueta/HTML","Copie el archivo a la carpeta examples/ del proyecto.",""
"index.html (L767)","etiqueta/HTML","Cree o edite examples/index.json con una entrada por ejemplo:",""
"index.html (L809)","etiqueta/HTML","Elementos barra 3D tipo Timoshenko (12 GDL), liberaciones por condensación estática.",""
"index.html (L811)","etiqueta/HTML","Diafragmas rígidos, masas nodales, apoyos elásticos (resortes).",""
"index.html (L812)","etiqueta/HTML","Análisis modal y espectro de respuesta (CQC/SRSS).",""
"index.html (L813)","etiqueta/HTML","Herramientas didácticas: matrices Ke/T/K/Me y globales, DCL con verificación de equilibrio.",""
"index.html (L815)","etiqueta/HTML","Limitaciones conocidas (¡léalas!)",""
"index.html (L817)","etiqueta/HTML","Análisis lineal : sin P-Δ ni no-linealidad de material o geometría.",""
"index.html (L820)","etiqueta/HTML","Cargas en elementos: solo distribuidas uniformes en todo el vano.",""
"index.html (L821)","etiqueta/HTML","Sin verificación de diseño (hormigón/acero) ni normativa automática (NCh433).",""
"index.html (L842)","etiqueta/HTML","Facultad de Ciencias de la Ingeniería · Instituto de Obras Civiles",""
"index.html (L867)","etiqueta/HTML","Laboratorio virtual de análisis estructural 3D",""
"index.html (L874)","etiqueta/HTML","Modelado 3D",""
"index.html (L874)","etiqueta/HTML","Análisis estático",""
"index.html (L874)","etiqueta/HTML","Formas modales",""
"index.html (L875)","etiqueta/HTML","Espectro de respuesta",""
"index.html (L875)","etiqueta/HTML","Diafragmas rígidos",""
"index.html (L878)","etiqueta/HTML","Entrar al laboratorio (vacío) →",""
"index.html (L879)","etiqueta/HTML","✦ Generar modelo con el asistente →",""
"index.html (L880)","etiqueta/HTML","📖 Manual de uso",""
"index.html (L881)","etiqueta/HTML","⤓ Instalar app",""
"index.html (L1049)","etiqueta/HTML","' + m[2].trim() + '",""
"js/app.js (L781)","etiqueta/HTML","Nº de partes por elemento",""
"js/app.js (L782)","etiqueta/HTML","Longitud de tramo (m)",""
"js/app.js (L874)","etiqueta/HTML","⬇ Exportar matrices a CSV",""
"js/app.js (L920)","etiqueta/HTML","⬇ Exportar K y M globales a CSV",""
"js/app.js (L985)","etiqueta/HTML","Abrir ejemplo",""
"js/app.js (L1151)","etiqueta/HTML","Ejes X (A, B, C…) — dirección X global",""
"js/app.js (L1153)","etiqueta/HTML","Ejes Y (1, 2, 3…) — dirección Y global",""
"js/app.js (L1155)","etiqueta/HTML","Niveles Z (pisos)",""
"js/app.js (L1301)","etiqueta/HTML","✓ resultados",""
"js/app.js (L1302)","etiqueta/HTML","sin ejecutar",""
"js/app.js (L1304)","etiqueta/HTML","Ver ……",""
"js/app.js (L1309)","tooltip","Incluir en «Analizar seleccionados»",""
"js/app.js (L1312)","etiqueta/HTML","Ejecutar…",""
"js/app.js (L1338)","etiqueta/HTML","Estático / lineal",""
"js/app.js (L1339)","etiqueta/HTML","Avanzados (NL-lite)",""
"js/app.js (L1364)","etiqueta/HTML","▶ Analizar seleccionados",""
"js/app.js (L1364)","tooltip","Corre en orden los análisis marcados, con parámetros por defecto (sin diálogos)",""
"js/app.js (L2011)","etiqueta/HTML","Ver resultados",""
"js/app.js (L2237)","etiqueta/HTML","Número de modos a extraer (1–50)",""
"js/app.js (L2249)","etiqueta/HTML","Método de extracción",""
"js/app.js (L2251)","etiqueta/HTML","Iteración inversa (Stodola) — robusto, modo a modo",""
"js/app.js (L2252)","etiqueta/HTML","Iteración de subespacio (Bathe) — bloque, rápido con muchos modos",""
"js/app.js (L2257)","tooltip","Modal sobre K+Kg(estado): la fuerza axial del estado de referencia rigidiza (tracción) o ablanda (compresión) las frecuencias. Como en SAP2000 (modal sobre un caso no lineal).",""
"js/app.js (L2263)","etiqueta/HTML","Estado de referencia (carga que genera Kg)",""
"js/app.js (L2712)","etiqueta/HTML","Dirección de excitación",""
"js/app.js (L2713)","etiqueta/HTML","Z (vertical)",""
"js/app.js (L2714)","etiqueta/HTML","N° de modos",""
"js/app.js (L2715)","etiqueta/HTML","Amortiguamiento ζ (%)",""
"js/app.js (L2720)","etiqueta/HTML","Demo — Pulso de Ricker (sintético)",""
"js/app.js (L2721)","etiqueta/HTML","Demo — Armónico (sintético)",""
"js/app.js (L2722)","etiqueta/HTML","Demo — Sismo sintético (NO es real)",""
"js/app.js (L2723)","etiqueta/HTML","Pegar / cargar registro (t a) o (a)…",""
"js/app.js (L2727)","placeholder","Pegue el registro: dos columnas «t a» (s, m/s²) o una columna «a» con Δt. Líneas con # o texto se ignoran.",""
"js/app.js (L2729)","etiqueta/HTML","Δt si es 1 columna (s)",""
"js/app.js (L2734)","etiqueta/HTML","Escalar a PGA (m/s², 0 = no escalar)",""
"js/app.js (L2922)","tooltip","ID del nodo, elemento o área a monitorear",""
"js/app.js (L2935)","tooltip","Ir al instante de máxima respuesta",""
"js/app.js (L2936)","etiqueta/HTML","⤓ CSV",""
"js/app.js (L3054)","etiqueta/HTML","Todos los elementos (…)",""
"js/app.js (L3055)","etiqueta/HTML","Grupo «…» (…)",""
"js/app.js (L3056)","etiqueta/HTML","— ninguna —",""
"js/app.js (L3064)","etiqueta/HTML","Añadir etapa con",""
"js/app.js (L3065)","etiqueta/HTML","peso propio nuevo",""
"js/app.js (L3066)","etiqueta/HTML","➕ Añadir",""
"js/app.js (L3070)","etiqueta/HTML","Caso de SERVICIO en la última etapa (estructura terminada)",""
"js/app.js (L3083)","etiqueta/HTML","… elem…",""
"js/app.js (L3088)","etiqueta/HTML","Sin etapas. Añade al menos una.",""
"js/app.js (L3153)","etiqueta/HTML","(crea un caso de carga primero)",""
"js/app.js (L3161)","etiqueta/HTML","Caso de carga destino",""
"js/app.js (L3164)","etiqueta/HTML","e inicial (m)",""
"js/app.js (L3165)","etiqueta/HTML","e centro (m)",""
"js/app.js (L3166)","etiqueta/HTML","e final (m)",""
"js/app.js (L3169)","etiqueta/HTML","Quiebres «s,e» por línea (s∈[0,1], e ↓+ en m)",""
"js/app.js (L3175)","etiqueta/HTML","Efectiva P directa",""
"js/app.js (L3175)","etiqueta/HTML","Tesado + pérdidas",""
"js/app.js (L3176)","etiqueta/HTML","P (kN)",""
"js/app.js (L3179)","etiqueta/HTML","P₀ gato (kN)",""
"js/app.js (L3180)","etiqueta/HTML","μ (1/rad)",""
"js/app.js (L3182)","etiqueta/HTML","Pérdida tanto alzado",""
"js/app.js (L3184)","etiqueta/HTML","Resolver estático tras aplicar",""
"js/app.js (L3257)","etiqueta/HTML","Nodo …",""
"js/app.js (L3258)","etiqueta/HTML","Elem …",""
"js/app.js (L3265)","etiqueta/HTML","Línea de influencia (carga unitaria)",""
"js/app.js (L3265)","etiqueta/HTML","Envolvente (tren de cargas)",""
"js/app.js (L3266)","etiqueta/HTML","Posiciones de barrido",""
"js/app.js (L3269)","etiqueta/HTML","Reacción de apoyo",""
"js/app.js (L3269)","etiqueta/HTML","Esfuerzo en sección",""
"js/app.js (L3273)","etiqueta/HTML","Fz (vertical)",""
"js/app.js (L3277)","etiqueta/HTML","Posición ξ (0–1)",""
"js/app.js (L3281)","etiqueta/HTML","Tren «offset,P» por línea (offset m respecto al eje de referencia, P en kN ↓)",""
"js/app.js (L3356)","etiqueta/HTML","Pista L = … m · … posiciones",""
"js/app.js (L3359)","etiqueta/HTML","⬇ CSV",""
"js/app.js (L3543)","etiqueta/HTML","Endurec. α",""
"js/app.js (L3552)","etiqueta/HTML","Botón de re-semilla de Vy a un coef. de corte basal Cy·peso:",""
"js/app.js (L3554)","etiqueta/HTML","↻ Vy = Cy·peso acumulado",""
"js/app.js (L3565)","placeholder","Registro: «t a» (s, m/s²) o una columna «a» con Δt.",""
"js/app.js (L3567)","etiqueta/HTML","Δt si 1 columna (s)",""
"js/app.js (L3572)","etiqueta/HTML","Escalar a PGA (m/s², 0 = no)",""
"js/app.js (L3638)","tooltip","Ir al pico",""
"js/app.js (L3847)","etiqueta/HTML","Límite de dimensiones (opcional):",""
"js/app.js (L3848)","etiqueta/HTML","ancho máx cm",""
"js/app.js (L3849)","etiqueta/HTML","alto máx cm",""
"js/app.js (L3852)","etiqueta/HTML","D/C objetivo",""
"js/app.js (L3852)","tooltip","D/C objetivo: la selección prefiere candidatos con D/C cerca de este valor (sin pasar de 1).",""
"js/app.js (L3853)","etiqueta/HTML","Acero:",""
"js/app.js (L3853)","tooltip","Familias de acero permitidas como candidatas (sólo aplica a secciones de acero/aluminio).",""
"js/app.js (L3864)","etiqueta/HTML","⚠ compartida = la sección la usan también elementos fuera del alcance.",""
"js/app.js (L3865)","etiqueta/HTML","✓ Aplicar al modelo",""
"js/app.js (L4003)","etiqueta/HTML","γ = ΣMnc ≥ γ·ΣMnb",""
"js/app.js (L4014)","etiqueta/HTML","Mn ≈ Fy·Zz por barra. Clasificación columna/viga por verticalidad. Clic en una fila para centrar el nudo. Rojo = no cumple.",""
"js/app.js (L4030)","etiqueta/HTML","Reglas simples de ingeniería para una sección inicial (antes del análisis). El resultado es editable y preliminar — requiere verificación posterior.",""
"js/app.js (L4033)","etiqueta/HTML","Hormigón armado",""
"js/app.js (L4036)","etiqueta/HTML","Luz / altura L (m)",""
"js/app.js (L4037)","etiqueta/HTML","Carga q (kN/m)",""
"js/app.js (L4038)","etiqueta/HTML","Axial N (kN)",""
"js/app.js (L4039)","etiqueta/HTML","f'c (MPa)",""
"js/app.js (L4042)","etiqueta/HTML","Crear sección y asignar a la selección de elementos",""
"js/app.js (L4388)","etiqueta/HTML","Número de modos de pandeo (1–20)",""
"js/app.js (L4467)","etiqueta/HTML","Sin elementos en compresión para este modo.",""
"js/app.js (L4652)","etiqueta/HTML","Densidad de fuerza q = N/L [kN/m] (mayor q → forma más tensa/recta)",""
"js/app.js (L4658)","etiqueta/HTML","Coordenadas a ajustar",""
"js/app.js (L4660)","etiqueta/HTML","Sólo vertical (Z) — mantiene las luces en planta (recomendado)",""
"js/app.js (L4661)","etiqueta/HTML","3D (x, y, z) — redistribuye también en planta (redes/mallas)",""
"js/app.js (L5108)","etiqueta/HTML","Mp para los elementos SELECCIONADOS [kN·m]",""
"js/app.js (L5120)","etiqueta/HTML","Momento plástico Mp [kN·m] (capacidad …)",""
"js/app.js (L5127)","etiqueta/HTML","Comportamiento de la rótula (curva constitutiva)",""
"js/app.js (L5129)","etiqueta/HTML","Dúctil — perfectamente plástica (meseta ∞)",""
"js/app.js (L5130)","etiqueta/HTML","Dúctil con caída — meseta hasta θu/δu y luego cae",""
"js/app.js (L5131)","etiqueta/HTML","Frágil — caída inmediata al alcanzar la capacidad",""
"js/app.js (L5137)","etiqueta/HTML","Capacidad residual tras la caída [% de la capacidad]",""
"js/app.js (L5142)","etiqueta/HTML","θu rotación última [rad] (momento)",""
"js/app.js (L5143)","etiqueta/HTML","δu desplaz. último [m] (N/V)",""
"js/app.js (L5151)","etiqueta/HTML","Curva constitutiva momento–giro de la rótula",""
"js/app.js (L5155)","etiqueta/HTML","Patrón de carga a evaluar (#45)",""
"js/app.js (L5253)","etiqueta/HTML","Patrón de carga de referencia (#45)",""
"js/app.js (L5264)","etiqueta/HTML","Idealiza las barras como reticulado (axial/cables). La imperfección dispara inestabilidades (snap-through / puntos límite).",""
"js/app.js (L5415)","etiqueta/HTML","Período arbitrario (escribir ↓)",""
"js/app.js (L5416)","etiqueta/HTML","Modo … — T = … s",""
"js/app.js (L5427)","etiqueta/HTML","Caso de espectro (elige uno guardado para editar sus parámetros, o crea uno nuevo)",""
"js/app.js (L5427)","etiqueta/HTML","(elige uno guardado para editar sus parámetros, o crea uno nuevo)",""
